,0,1,2,3
loss,"[0.2785300016403198, 0.2598656713962555, 0.24197739362716675, 0.2233155220746994, 0.2027236372232437, 0.18037250638008118, 0.1552506387233734, 0.1280030906200409, 0.1016811653971672, 0.07893507927656174, 0.06009543314576149, 0.04493288695812225, 0.03505578637123108, 0.027537846937775612, 0.02230522595345974, 0.019294418394565582, 0.017943773418664932, 0.014942326582968235, 0.012494479306042194, 0.012425032444298267, 0.011748900637030602, 0.01129450835287571, 0.010926386341452599, 0.009877870790660381, 0.010073386132717133, 0.009930276311933994, 0.009682138450443745, 0.009593361988663673, 0.009382687509059906, 0.008467675186693668]","[0.18879318237304688, 0.15938307344913483, 0.1303374171257019, 0.10364407300949097, 0.08016824722290039, 0.060507286339998245, 0.04678504168987274, 0.035060930997133255, 0.02866380475461483, 0.022700868546962738, 0.01919737458229065, 0.01735847070813179, 0.015945784747600555, 0.01441593375056982, 0.013371100649237633, 0.012672996148467064, 0.01225803978741169, 0.011187446303665638, 0.011134762316942215, 0.011084932833909988, 0.010639135725796223, 0.00991129968315363, 0.010158640332520008, 0.01045225653797388, 0.00972722563892603, 0.009940928779542446, 0.00939959567040205, 0.009586434811353683, 0.009486383758485317, 0.009530172683298588]","[0.22586187720298767, 0.21009361743927002, 0.19132709503173828, 0.1681244671344757, 0.14211224019527435, 0.11535073071718216, 0.08999957889318466, 0.06840265542268753, 0.05317837372422218, 0.03912308067083359, 0.03128219023346901, 0.024825137108564377, 0.02087465673685074, 0.018663812428712845, 0.01610608398914337, 0.015653887763619423, 0.01444002240896225, 0.013002587482333183, 0.011777290143072605, 0.011716279201209545, 0.01174483448266983, 0.011037626303732395, 0.01112346537411213, 0.010733411647379398, 0.01013262290507555, 0.00973562989383936, 0.009018346667289734, 0.009892726317048073, 0.009940040297806263, 0.00986308790743351]","[0.2576180398464203, 0.2392461895942688, 0.21902263164520264, 0.1953023076057434, 0.16853904724121094, 0.14036723971366882, 0.1129087284207344, 0.08816719055175781, 0.06739654392004013, 0.050809163600206375, 0.039011791348457336, 0.030986957252025604, 0.02448865957558155, 0.02000393718481064, 0.017560245469212532, 0.01577124372124672, 0.014445768669247627, 0.013116166926920414, 0.011856463737785816, 0.011642963625490665, 0.01126441266387701, 0.010492951609194279, 0.010334881953895092, 0.010330136865377426, 0.009451777674257755, 0.009652877226471901, 0.008587036281824112, 0.00882924348115921, 0.00888798851519823, 0.009366441518068314]"
accuracy,"[0.08312500268220901, 0.3059374988079071, 0.7134374976158142, 0.9457812309265137, 0.9945312738418579, 0.9995312690734863, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9956250190734863, 0.9998437762260437, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9689062237739563, 0.9981250166893005, 0.9998437762260437, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.34859374165534973, 0.7651562690734863, 0.9678124785423279, 0.9993749856948853, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
root_mean_squared_error,"[0.5277594327926636, 0.5097702145576477, 0.49191197752952576, 0.472562700510025, 0.4502484202384949, 0.42470282316207886, 0.39401859045028687, 0.35777518153190613, 0.3188748359680176, 0.28095388412475586, 0.24514369666576385, 0.21197378635406494, 0.1872319132089615, 0.16594530642032623, 0.14934933185577393, 0.13890434801578522, 0.13395436108112335, 0.12223880738019943, 0.11177870631217957, 0.1114676296710968, 0.10839234292507172, 0.10627562552690506, 0.10452935844659805, 0.09938748180866241, 0.1003662571310997, 0.09965077042579651, 0.09839785844087601, 0.09794570505619049, 0.09686427563428879, 0.09201996773481369]","[0.43450337648391724, 0.3992280960083008, 0.3610227406024933, 0.3219379782676697, 0.2831399738788605, 0.24598228931427002, 0.21629850566387177, 0.18724565207958221, 0.16930387914180756, 0.15066806972026825, 0.13855458796024323, 0.13175155222415924, 0.12627661228179932, 0.12006636708974838, 0.11563347280025482, 0.11257440596818924, 0.11071603000164032, 0.10577072203159332, 0.10552138090133667, 0.10528500378131866, 0.10314618796110153, 0.09955550730228424, 0.10079007595777512, 0.10223627835512161, 0.09862669557332993, 0.09970420598983765, 0.09695150703191757, 0.0979103371500969, 0.0973980650305748, 0.09762260317802429]","[0.4752492606639862, 0.4583596885204315, 0.43740952014923096, 0.4100298285484314, 0.3769777715206146, 0.3396332263946533, 0.29999929666519165, 0.2615390121936798, 0.2306043654680252, 0.1977955549955368, 0.17686770856380463, 0.15755994617938995, 0.1444806456565857, 0.1366155594587326, 0.1269097477197647, 0.1251154989004135, 0.12016664445400238, 0.11402888596057892, 0.10852321982383728, 0.10824175924062729, 0.10837358236312866, 0.10506010800600052, 0.10546784102916718, 0.10360217839479446, 0.10066092759370804, 0.09866929799318314, 0.09496497362852097, 0.09946218132972717, 0.09969975054264069, 0.09931308031082153]","[0.5075608491897583, 0.4891279935836792, 0.46799853444099426, 0.44193020462989807, 0.41053506731987, 0.37465617060661316, 0.3360189199447632, 0.29692959785461426, 0.2596084475517273, 0.2254088819026947, 0.19751402735710144, 0.17603112757205963, 0.15648852288722992, 0.14143526554107666, 0.1325150728225708, 0.12558360397815704, 0.12019055336713791, 0.11452583223581314, 0.10888738930225372, 0.10790256410837173, 0.10613393783569336, 0.10243510454893112, 0.10166061669588089, 0.10163728147745132, 0.09722024947404861, 0.09824905544519424, 0.09266626089811325, 0.09396405518054962, 0.09427613019943237, 0.09678038209676743]"
val_loss,"[0.2488710582256317, 0.2499213069677353, 0.25190266966819763, 0.25478121638298035, 0.2593931555747986, 0.26560455560684204, 0.27623260021209717, 0.2905355989933014, 0.31170329451560974, 0.3358018398284912, 0.3596479296684265, 0.3824518620967865, 0.4045577645301819, 0.41803300380706787, 0.435924768447876, 0.4507593810558319, 0.46072718501091003, 0.4684417247772217, 0.4784014821052551, 0.48481449484825134, 0.4888330399990082, 0.4941365718841553, 0.4943463206291199, 0.5028940439224243, 0.5040218234062195, 0.5058075189590454, 0.5116029977798462, 0.5166309475898743, 0.5112945437431335, 0.5159944295883179]","[0.26122814416885376, 0.2718954384326935, 0.28700920939445496, 0.307198166847229, 0.32954955101013184, 0.3554834723472595, 0.38285326957702637, 0.40194565057754517, 0.4214997887611389, 0.43464985489845276, 0.44739070534706116, 0.45625564455986023, 0.47352972626686096, 0.47679442167282104, 0.47937771677970886, 0.4880133867263794, 0.49585777521133423, 0.5033025145530701, 0.5051968097686768, 0.5054323077201843, 0.510798990726471, 0.5096863508224487, 0.5134009122848511, 0.5170724391937256, 0.5225100517272949, 0.5245200991630554, 0.5236741900444031, 0.5252833962440491, 0.5233102440834045, 0.5262303948402405]","[0.2520047128200531, 0.254827082157135, 0.25939708948135376, 0.2658451199531555, 0.27866625785827637, 0.2951154112815857, 0.3134409785270691, 0.33677351474761963, 0.358551561832428, 0.3791888356208801, 0.39966025948524475, 0.41442543268203735, 0.4310661256313324, 0.44228315353393555, 0.4504700303077698, 0.4649772047996521, 0.46616610884666443, 0.4707401990890503, 0.48080506920814514, 0.4868876338005066, 0.4866480529308319, 0.4883912205696106, 0.49872124195098877, 0.49854907393455505, 0.5007311105728149, 0.505893886089325, 0.5008734464645386, 0.5081675052642822, 0.5108658671379089, 0.51153963804245]","[0.24927788972854614, 0.25062376260757446, 0.25403672456741333, 0.2603064477443695, 0.26972416043281555, 0.2829819619655609, 0.3005262613296509, 0.3219391405582428, 0.3418571949005127, 0.3659880757331848, 0.3933663070201874, 0.4009760916233063, 0.42293447256088257, 0.4348883330821991, 0.4550122618675232, 0.4634469151496887, 0.4691726863384247, 0.4720483124256134, 0.4868423640727997, 0.4883297383785248, 0.4974088668823242, 0.5034183859825134, 0.49647387862205505, 0.5027723908424377, 0.508550763130188, 0.5103543996810913, 0.5102452635765076, 0.5107266902923584, 0.5094166398048401, 0.5185512900352478]"
val_accuracy,"[0.533143937587738, 0.5274621248245239, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408]","[0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569]","[0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814]","[0.5460526347160339, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812]"
val_root_mean_squared_error,"[0.49886977672576904, 0.4999212920665741, 0.5018990635871887, 0.5047585368156433, 0.5093065500259399, 0.5153684020042419, 0.5255783796310425, 0.5390135049819946, 0.558303952217102, 0.5794841051101685, 0.5997065305709839, 0.6184269189834595, 0.6360485553741455, 0.646554708480835, 0.6602460145950317, 0.6713861227035522, 0.6787688732147217, 0.6844280362129211, 0.6916657090187073, 0.6962862014770508, 0.699165940284729, 0.7029484510421753, 0.7030976414680481, 0.7091501951217651, 0.7099449038505554, 0.7112014889717102, 0.7152642607688904, 0.718770444393158, 0.715048611164093, 0.718327522277832]","[0.5111048221588135, 0.5214359164237976, 0.5357323884963989, 0.5542545914649963, 0.5740640759468079, 0.596224308013916, 0.6187513470649719, 0.6339918375015259, 0.6492301225662231, 0.6592797636985779, 0.6688727140426636, 0.6754669547080994, 0.6881349682807922, 0.6905030012130737, 0.6923710703849792, 0.6985795497894287, 0.7041716575622559, 0.709438145160675, 0.7107719779014587, 0.7109376192092896, 0.7147020101547241, 0.7139232158660889, 0.7165200114250183, 0.719077467918396, 0.7228485941886902, 0.7242375612258911, 0.7236533761024475, 0.724764347076416, 0.7234018445014954, 0.7254173755645752]","[0.5020006895065308, 0.5048040151596069, 0.5093103647232056, 0.5156016945838928, 0.5278884768486023, 0.543245255947113, 0.559857964515686, 0.5803219079971313, 0.598791778087616, 0.6157830953598022, 0.6321868896484375, 0.6437588334083557, 0.656556248664856, 0.6650437116622925, 0.6711705923080444, 0.6818923354148865, 0.6827635765075684, 0.6861050724983215, 0.6934010982513428, 0.6977733373641968, 0.6976016163825989, 0.6988499164581299, 0.70620197057724, 0.7060800790786743, 0.7076235413551331, 0.7112621665000916, 0.7077240943908691, 0.7128586769104004, 0.7147487998008728, 0.7152199745178223]","[0.49927735328674316, 0.500623345375061, 0.5040205717086792, 0.5102023482322693, 0.5193497538566589, 0.5319604873657227, 0.5482027530670166, 0.5673968195915222, 0.5846855640411377, 0.6049695014953613, 0.6271892189979553, 0.633226752281189, 0.6503341197967529, 0.6594606041908264, 0.67454594373703, 0.6807693243026733, 0.6849617958068848, 0.6870577335357666, 0.697740912437439, 0.6988059282302856, 0.7052721977233887, 0.7095198035240173, 0.7046090364456177, 0.7090644240379333, 0.7131274342536926, 0.7143909335136414, 0.7143145203590393, 0.7146514058113098, 0.7137342691421509, 0.7201050519943237]"
