,0,1,2,3
loss,"[0.19575761258602142, 0.174358069896698, 0.1500825434923172, 0.12464282661676407, 0.1001601591706276, 0.07744288444519043, 0.05779895931482315, 0.04241611808538437, 0.03274806961417198, 0.026113569736480713, 0.02078825794160366, 0.017953019589185715, 0.015707163140177727, 0.013544189743697643, 0.01264147274196148, 0.012210280634462833, 0.011581446044147015, 0.010311718098819256, 0.010155954398214817, 0.010074565187096596, 0.008807811886072159, 0.009745598770678043, 0.007992836646735668, 0.009390806779265404, 0.009420875459909439, 0.008442695252597332, 0.009285246953368187, 0.008568746969103813, 0.009509463794529438, 0.008953506126999855]","[0.2311629056930542, 0.21267388761043549, 0.19158406555652618, 0.16605494916439056, 0.13751749694347382, 0.10721512138843536, 0.08033118396997452, 0.058618202805519104, 0.0435032844543457, 0.032432276755571365, 0.026197828352451324, 0.021757440641522408, 0.019247137010097504, 0.016160057857632637, 0.01364810112863779, 0.013677822425961494, 0.013341606594622135, 0.013386441394686699, 0.010906465351581573, 0.011274237185716629, 0.010578179731965065, 0.010438838042318821, 0.010143928229808807, 0.010663647204637527, 0.009747696109116077, 0.009429828263819218, 0.009124930948019028, 0.009892161935567856, 0.008929794654250145, 0.009048737585544586]","[0.22251524031162262, 0.19451452791690826, 0.1659858673810959, 0.1372964233160019, 0.10966411232948303, 0.08574137091636658, 0.06396323442459106, 0.04889668524265289, 0.03842249512672424, 0.030493292957544327, 0.02485625445842743, 0.021191241219639778, 0.018409159034490585, 0.016356943175196648, 0.014944496564567089, 0.013785374350845814, 0.01231661718338728, 0.012443616054952145, 0.012316462583839893, 0.011162575334310532, 0.011402647942304611, 0.010356016457080841, 0.009991236962378025, 0.01027098298072815, 0.010451708920300007, 0.009339286014437675, 0.009671883657574654, 0.009291987866163254, 0.009093428030610085, 0.009624507278203964]","[0.2482149302959442, 0.233393594622612, 0.21830758452415466, 0.2013208419084549, 0.18293026089668274, 0.1626046597957611, 0.1410411149263382, 0.11776264011859894, 0.09689045697450638, 0.07620077580213547, 0.0595182366669178, 0.046728283166885376, 0.035692472010850906, 0.029476819559931755, 0.023544011637568474, 0.02060830593109131, 0.016850976273417473, 0.015285197645425797, 0.014024518430233002, 0.013546790927648544, 0.011945812962949276, 0.010871130041778088, 0.01097632385790348, 0.010385429486632347, 0.010330173186957836, 0.010359111241996288, 0.00973863247781992, 0.010184913873672485, 0.008507738821208477, 0.008938215672969818]"
accuracy,"[0.9995312690734863, 0.9998437762260437, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8971874713897705, 0.9876562356948853, 0.9989062547683716, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8984375, 0.9940624833106995, 0.9995312690734863, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5707812309265137, 0.8860937356948853, 0.9867187738418579, 0.999218761920929, 0.9996874928474426, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
root_mean_squared_error,"[0.4424450397491455, 0.4175620377063751, 0.3874048888683319, 0.3530479073524475, 0.3164809048175812, 0.2782856225967407, 0.24041414260864258, 0.2059517353773117, 0.18096427619457245, 0.16159693896770477, 0.14418132603168488, 0.1339888721704483, 0.1253282129764557, 0.1163795068860054, 0.11243430525064468, 0.11050013452768326, 0.10761712491512299, 0.10154663026332855, 0.10077675431966782, 0.10037213563919067, 0.09384994208812714, 0.09871979802846909, 0.08940266072750092, 0.09690617769956589, 0.09706119447946548, 0.09188413619995117, 0.096359983086586, 0.09256752580404282, 0.09751647710800171, 0.09462296962738037]","[0.4807940423488617, 0.46116578578948975, 0.4377031624317169, 0.40749838948249817, 0.37083351612091064, 0.3274371922016144, 0.28342756628990173, 0.2421119660139084, 0.20857439935207367, 0.18008963763713837, 0.16185742616653442, 0.1475040316581726, 0.13873404264450073, 0.1271222084760666, 0.11682508885860443, 0.11695221811532974, 0.1155058741569519, 0.11569979041814804, 0.10443402081727982, 0.10618020594120026, 0.1028502807021141, 0.10217063128948212, 0.10071706771850586, 0.1032649353146553, 0.0987304225564003, 0.09710729867219925, 0.09552450478076935, 0.09945934265851974, 0.09449759125709534, 0.09512484818696976]","[0.47171521186828613, 0.44103801250457764, 0.40741363167762756, 0.37053531408309937, 0.3311557173728943, 0.29281628131866455, 0.2529095411300659, 0.22112594544887543, 0.1960165649652481, 0.1746232807636261, 0.1576586663722992, 0.14557211101055145, 0.13568034768104553, 0.12789426743984222, 0.12224768102169037, 0.11741113662719727, 0.11098025739192963, 0.1115509569644928, 0.11097955703735352, 0.10565309226512909, 0.1067831814289093, 0.10176451504230499, 0.09995617717504501, 0.10134585946798325, 0.10223359614610672, 0.09663998335599899, 0.09834573417901993, 0.09639495611190796, 0.09535946696996689, 0.0981045737862587]","[0.49821171164512634, 0.483108252286911, 0.46723395586013794, 0.44868791103363037, 0.42770346999168396, 0.40324267745018005, 0.3755544126033783, 0.3431656062602997, 0.3112723231315613, 0.2760448753833771, 0.2439635992050171, 0.21616725623607635, 0.18892450630664825, 0.17168813943862915, 0.15344057977199554, 0.1435559242963791, 0.12981130182743073, 0.12363331764936447, 0.1184251606464386, 0.11639068275690079, 0.10929690301418304, 0.10426470637321472, 0.10476794838905334, 0.10190892219543457, 0.10163746029138565, 0.10177972167730331, 0.09868451207876205, 0.10092033445835114, 0.09223740547895432, 0.09454213827848434]"
val_loss,"[0.2607526183128357, 0.2669554650783539, 0.27758896350860596, 0.29234305024147034, 0.3116554319858551, 0.3335801362991333, 0.35495948791503906, 0.38118478655815125, 0.40206584334373474, 0.42071884870529175, 0.4396868050098419, 0.45305943489074707, 0.46111536026000977, 0.4756259620189667, 0.4832741320133209, 0.48868849873542786, 0.4842499792575836, 0.498935341835022, 0.5014730095863342, 0.5012049078941345, 0.5045320987701416, 0.5111901164054871, 0.5163172483444214, 0.5157412886619568, 0.5156943202018738, 0.5135831832885742, 0.5159403085708618, 0.5192611217498779, 0.5204552412033081, 0.5238587260246277]","[0.25445181131362915, 0.2590430676937103, 0.26538217067718506, 0.27716517448425293, 0.2942289412021637, 0.3154473900794983, 0.34083810448646545, 0.3723084032535553, 0.3965011537075043, 0.41986286640167236, 0.43715900182724, 0.4550545811653137, 0.46553921699523926, 0.47043684124946594, 0.47992682456970215, 0.4894830286502838, 0.4914018213748932, 0.5050206184387207, 0.5073586106300354, 0.5056986212730408, 0.5139155983924866, 0.5156524181365967, 0.5181986093521118, 0.517675518989563, 0.5244630575180054, 0.5218607187271118, 0.5246777534484863, 0.5243237018585205, 0.5254473686218262, 0.5267853736877441]","[0.25355300307273865, 0.25872671604156494, 0.2693655490875244, 0.28343090415000916, 0.3032837510108948, 0.32648220658302307, 0.3472316861152649, 0.3706863224506378, 0.39332664012908936, 0.41020432114601135, 0.42396080493927, 0.4384303689002991, 0.44575104117393494, 0.4606032073497772, 0.46487957239151, 0.4755335748195648, 0.47938263416290283, 0.48335909843444824, 0.4874194264411926, 0.48945364356040955, 0.49775266647338867, 0.4964030086994171, 0.5013946890830994, 0.49980688095092773, 0.5049364566802979, 0.5101482272148132, 0.5052872896194458, 0.5078637003898621, 0.5145214200019836, 0.5135436058044434]","[0.25151121616363525, 0.2533750534057617, 0.2559306025505066, 0.259751558303833, 0.2643401622772217, 0.27214494347572327, 0.2818585932254791, 0.2943297326564789, 0.311140775680542, 0.33066725730895996, 0.3527442514896393, 0.371844619512558, 0.3949486017227173, 0.4098531901836395, 0.42579159140586853, 0.43874138593673706, 0.45689186453819275, 0.4607328176498413, 0.46464061737060547, 0.4720097482204437, 0.4803711771965027, 0.4879772663116455, 0.48754099011421204, 0.4922994375228882, 0.49792635440826416, 0.5077112317085266, 0.509448766708374, 0.5094201564788818, 0.5103485584259033, 0.511075496673584]"
val_accuracy,"[0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408, 0.4583333432674408]","[0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569, 0.4526209533214569]","[0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814, 0.46621620655059814]","[0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812, 0.4638157784938812]"
val_root_mean_squared_error,"[0.5106394290924072, 0.5166773200035095, 0.5268670916557312, 0.5406875610351562, 0.5582610964775085, 0.5775639414787292, 0.5957847237586975, 0.617401659488678, 0.6340866088867188, 0.6486284136772156, 0.663088858127594, 0.6730968952178955, 0.6790547370910645, 0.6896564364433289, 0.6951792240142822, 0.6990625858306885, 0.6958807110786438, 0.7063535451889038, 0.7081475853919983, 0.7079582214355469, 0.7103042006492615, 0.7149755954742432, 0.7185521721839905, 0.7181512713432312, 0.7181186079978943, 0.716647207736969, 0.718289852142334, 0.7205977439880371, 0.7214258313179016, 0.7237808108329773]","[0.5044321417808533, 0.5089626908302307, 0.5151525735855103, 0.5264648199081421, 0.542428731918335, 0.5616470575332642, 0.5838133692741394, 0.6101707816123962, 0.6296833753585815, 0.6479682326316833, 0.6611800193786621, 0.6745772957801819, 0.682304322719574, 0.6858839988708496, 0.6927675008773804, 0.699630618095398, 0.7010005712509155, 0.7106480002403259, 0.7122911214828491, 0.7111248970031738, 0.7168790698051453, 0.7180894017219543, 0.7198601365089417, 0.7194966673851013, 0.7241982221603394, 0.7223992943763733, 0.724346399307251, 0.7241019606590271, 0.7248774766921997, 0.7257997989654541]","[0.5035404562950134, 0.508651852607727, 0.5190044045448303, 0.5323823094367981, 0.5507120490074158, 0.5713862180709839, 0.5892636775970459, 0.6088401675224304, 0.6271575689315796, 0.6404719352722168, 0.6511226892471313, 0.6621407270431519, 0.6676458716392517, 0.6786775588989258, 0.6818207502365112, 0.6895894408226013, 0.6923746466636658, 0.695240318775177, 0.6981542706489563, 0.699609637260437, 0.7055158615112305, 0.7045587301254272, 0.7080922722816467, 0.70697021484375, 0.710588812828064, 0.7142465710639954, 0.7108356356620789, 0.7126455307006836, 0.7173014879226685, 0.7166195511817932]","[0.5015089511871338, 0.5033637285232544, 0.5058958530426025, 0.5096582770347595, 0.5141401886940002, 0.5216751098632812, 0.5309035778045654, 0.5425216555595398, 0.5577999353408813, 0.5750367641448975, 0.5939227342605591, 0.6097906231880188, 0.6284493803977966, 0.64019775390625, 0.6525270342826843, 0.6623755693435669, 0.6759377717971802, 0.678773045539856, 0.6816455125808716, 0.6870296597480774, 0.6930881142616272, 0.6985536813735962, 0.6982413530349731, 0.7016405463218689, 0.7056389451026917, 0.7125385999679565, 0.713756799697876, 0.7137367129325867, 0.7143868207931519, 0.7148954272270203]"
